127.0.0.1 - - [30/Aug/2016:14:10:10 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Aug/2016:14:10:17 +0530] "GET /PendriveOnlineShopping/ HTTP/1.1" 200 1960
0:0:0:0:0:0:0:1 - - [30/Aug/2016:14:10:42 +0530] "GET /PendriveOnlineShopping/ HTTP/1.1" 200 1960
0:0:0:0:0:0:0:1 - - [30/Aug/2016:14:10:43 +0530] "GET /PendriveOnlineShopping/resources/css/bootstrap.min.css;jsessionid=D32A730A16699E5E8CF4D120055355CC HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [30/Aug/2016:14:10:43 +0530] "GET /PendriveOnlineShopping/resources/js/bootstrap.min.js;jsessionid=D32A730A16699E5E8CF4D120055355CC HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [30/Aug/2016:14:10:43 +0530] "GET /PendriveOnlineShopping/resources/js/jquery-2.2.3.min.js;jsessionid=D32A730A16699E5E8CF4D120055355CC HTTP/1.1" 200 85659
0:0:0:0:0:0:0:1 - - [30/Aug/2016:14:10:43 +0530] "GET /PendriveOnlineShopping/resources/images/log.gif;jsessionid=D32A730A16699E5E8CF4D120055355CC HTTP/1.1" 200 14684
0:0:0:0:0:0:0:1 - - [30/Aug/2016:14:10:43 +0530] "GET /PendriveOnlineShopping/resources/images/pendrive.jpg;jsessionid=D32A730A16699E5E8CF4D120055355CC HTTP/1.1" 200 111853
0:0:0:0:0:0:0:1 - - [30/Aug/2016:14:10:43 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [30/Aug/2016:14:10:43 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [30/Aug/2016:14:10:46 +0530] "GET /PendriveOnlineShopping/Aboutus HTTP/1.1" 200 2343
0:0:0:0:0:0:0:1 - - [30/Aug/2016:14:10:46 +0530] "GET /PendriveOnlineShopping/resources/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [30/Aug/2016:14:10:46 +0530] "GET /PendriveOnlineShopping/resources/js/jquery-2.2.3.min.js HTTP/1.1" 200 85659
0:0:0:0:0:0:0:1 - - [30/Aug/2016:14:10:46 +0530] "GET /PendriveOnlineShopping/resources/images/pend3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2016:14:10:46 +0530] "GET /PendriveOnlineShopping/resources/images/logo4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2016:14:10:49 +0530] "GET /PendriveOnlineShopping/Signup HTTP/1.1" 200 4096
0:0:0:0:0:0:0:1 - - [30/Aug/2016:14:10:49 +0530] "GET /PendriveOnlineShopping/resources/images/pend2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2016:14:10:54 +0530] "GET /PendriveOnlineShopping/Signin HTTP/1.1" 200 3865
0:0:0:0:0:0:0:1 - - [30/Aug/2016:14:10:54 +0530] "GET /PendriveOnlineShopping/resources/images/pend1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2016:14:10:56 +0530] "GET /PendriveOnlineShopping/Home HTTP/1.1" 200 1740
0:0:0:0:0:0:0:1 - - [30/Aug/2016:14:10:57 +0530] "GET /PendriveOnlineShopping/resources/images/log.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2016:14:10:57 +0530] "GET /PendriveOnlineShopping/resources/images/pendrive.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2016:14:11:00 +0530] "GET /PendriveOnlineShopping/Aboutus HTTP/1.1" 200 2343
0:0:0:0:0:0:0:1 - - [30/Aug/2016:14:11:02 +0530] "GET /PendriveOnlineShopping/Home HTTP/1.1" 200 1740
